Timestamp,,,,
3/15/2024 8:13:31,Vekad [NeveN],Mikey [Fields of Spring],Bucky [Undefeated],Oscar [Violet Memoir]
3/15/2024 8:13:55,Vekad [NeveN],Gil [MachinaLutris],Bucky [Undefeated],Redline [Undefeated]
3/15/2024 8:13:56,Judah [MachinaLutris],Mikey [Fields of Spring],Aaron [Polar Night],Oscar [Violet Memoir]
3/15/2024 8:14:25,Vekad [NeveN],Mikey [Fields of Spring],Aaron [Polar Night],Oscar [Violet Memoir]
3/15/2024 8:14:48,Vekad [NeveN],Gil [MachinaLutris],Aaron [Polar Night],Redline [Undefeated]
3/15/2024 8:19:30,Vekad [NeveN],,,
3/15/2024 8:20:13,Vekad [NeveN],Mikey [Fields of Spring],Bucky [Undefeated],Oscar [Violet Memoir]
3/15/2024 8:24:20,Vekad [NeveN],Gil [MachinaLutris],Bucky [Undefeated],Redline [Undefeated]
3/15/2024 8:24:52,Judah [MachinaLutris],Gil [MachinaLutris],Aaron [Polar Night],Redline [Undefeated]
3/15/2024 8:30:06,,,Bucky [Undefeated],Redline [Undefeated]
3/15/2024 8:59:46,Judah [MachinaLutris],Mikey [Fields of Spring],Aaron [Polar Night],Oscar [Violet Memoir]
3/15/2024 9:08:32,Vekad [NeveN],Mikey [Fields of Spring],Aaron [Polar Night],Redline [Undefeated]
3/15/2024 9:23:53,Vekad [NeveN],Mikey [Fields of Spring],Bucky [Undefeated],Redline [Undefeated]
3/15/2024 9:24:25,Vekad [NeveN],Mikey [Fields of Spring],Bucky [Undefeated],Redline [Undefeated]
3/15/2024 9:40:07,Vekad [NeveN],Gil [MachinaLutris],Aaron [Polar Night],Redline [Undefeated]
3/15/2024 10:31:40,Vekad [NeveN],Gil [MachinaLutris],Bucky [Undefeated],Oscar [Violet Memoir]
3/15/2024 10:35:23,Vekad [NeveN],,Bucky [Undefeated],Redline [Undefeated]
3/15/2024 10:39:02,Vekad [NeveN],Gil [MachinaLutris],Bucky [Undefeated],Redline [Undefeated]
3/15/2024 10:55:18,Vekad [NeveN],Gil [MachinaLutris],Aaron [Polar Night],Redline [Undefeated]
3/15/2024 10:56:35,Vekad [NeveN],,Bucky [Undefeated],Redline [Undefeated]
3/15/2024 11:23:18,Judah [MachinaLutris],Mikey [Fields of Spring],Bucky [Undefeated],Redline [Undefeated]
3/15/2024 12:49:01,Judah [MachinaLutris],Gil [MachinaLutris],Bucky [Undefeated],Redline [Undefeated]
3/15/2024 16:23:07,Judah [MachinaLutris],Gil [MachinaLutris],Bucky [Undefeated],Redline [Undefeated]
3/15/2024 16:37:14,Vekad [NeveN],Gil [MachinaLutris],Bucky [Undefeated],Redline [Undefeated]
3/15/2024 16:42:56,Judah [MachinaLutris],Gil [MachinaLutris],Aaron [Polar Night],Redline [Undefeated]
3/15/2024 17:28:16,,,Bucky [Undefeated],Redline [Undefeated]
3/15/2024 23:53:35,Judah [MachinaLutris],Mikey [Fields of Spring],Bucky [Undefeated],Redline [Undefeated]
3/15/2024 23:56:05,Vekad [NeveN],Gil [MachinaLutris],Aaron [Polar Night],Redline [Undefeated]
